日期,科室,就诊量
20030223,内科,10
20030223,外科,11
20030223,儿科,12
20030223,妇产科,13
20030223,骨科,26
20030223,口腔科,28
20030223,皮肤科,11
20030227,内科,4
20030227,外科,9
20030227,儿科,19
20030227,妇产科,20
20030227,骨科,21
20030227,口腔科,26
20030227,皮肤科,12
20030302,内科,1
20030302,外科,7
20030302,儿科,10
20030302,妇产科,23
20030302,骨科,28
20030302,口腔科,32
20030302,皮肤科,16
20030306,内科,4
20030306,外科,6
20030306,儿科,7
20030306,妇产科,10
20030306,骨科,13
20030306,口腔科,25
20030306,皮肤科,3
20030309,内科,4
20030309,外科,6
20030309,儿科,15
20030309,妇产科,17
20030309,骨科,30
20030309,口腔科,31
20030309,皮肤科,16
20030313,内科,1
20030313,外科,3
20030313,儿科,10
20030313,妇产科,21
20030313,骨科,26
20030313,口腔科,27
20030313,皮肤科,6
20030316,内科,1
20030316,外科,9
20030316,儿科,19
20030316,妇产科,21
20030316,骨科,23
20030316,口腔科,26
20030316,皮肤科,7
20030320,内科,5
20030320,外科,8
20030320,儿科,9
20030320,妇产科,14
20030320,骨科,17
20030320,口腔科,23
20030320,皮肤科,8
20030323,内科,5
20030323,外科,9
20030323,儿科,18
20030323,妇产科,20
20030323,骨科,22
20030323,口腔科,30
20030323,皮肤科,9
20030327,内科,1
20030327,外科,2
20030327,儿科,8
20030327,妇产科,13
20030327,骨科,17
20030327,口腔科,24
20030327,皮肤科,13
20030330,内科,4
20030330,外科,5
20030330,儿科,11
20030330,妇产科,12
20030330,骨科,30
20030330,口腔科,32
20030330,皮肤科,15
20030403,内科,2
20030403,外科,12
20030403,儿科,16
20030403,妇产科,17
20030403,骨科,27
20030403,口腔科,30
20030403,皮肤科,12
20030406,内科,8
20030406,外科,13
20030406,儿科,17
20030406,妇产科,21
20030406,骨科,23
20030406,口腔科,32
20030406,皮肤科,12
20030410,内科,3
20030410,外科,5
20030410,儿科,7
20030410,妇产科,8
20030410,骨科,21
20030410,口腔科,31
20030410,皮肤科,2
20030413,内科,4
20030413,外科,11
20030413,儿科,19
20030413,妇产科,25
20030413,骨科,26
20030413,口腔科,32
20030413,皮肤科,13
20030417,内科,11
20030417,外科,17
20030417,儿科,28
20030417,妇产科,30
20030417,骨科,31
20030417,口腔科,33
20030417,皮肤科,6
20030420,内科,5
20030420,外科,8
20030420,儿科,18
20030420,妇产科,23
20030420,骨科,25
20030420,口腔科,31
20030420,皮肤科,6
20030424,内科,5
20030424,外科,16
20030424,儿科,19
20030424,妇产科,20
20030424,骨科,25
20030424,口腔科,28
20030424,皮肤科,13
20030427,内科,4
20030427,外科,8
20030427,儿科,12
20030427,妇产科,13
20030427,骨科,16
20030427,口腔科,33
20030427,皮肤科,9
20030501,内科,7
20030501,外科,10
20030501,儿科,25
20030501,妇产科,26
20030501,骨科,27
20030501,口腔科,32
20030501,皮肤科,4
20030504,内科,14
20030504,外科,15
20030504,儿科,18
20030504,妇产科,25
20030504,骨科,26
20030504,口腔科,30
20030504,皮肤科,1
20030508,内科,2
20030508,外科,7
20030508,儿科,11
20030508,妇产科,12
20030508,骨科,14
20030508,口腔科,32
20030508,皮肤科,8
20030511,内科,1
20030511,外科,10
20030511,儿科,20
20030511,妇产科,22
20030511,骨科,26
20030511,口腔科,31
20030511,皮肤科,2
20030515,内科,2
20030515,外科,7
20030515,儿科,15
20030515,妇产科,17
20030515,骨科,22
20030515,口腔科,30
20030515,皮肤科,14
20030518,内科,1
20030518,外科,5
20030518,儿科,11
20030518,妇产科,13
20030518,骨科,14
20030518,口腔科,27
20030518,皮肤科,12
20030522,内科,8
20030522,外科,13
20030522,儿科,15
20030522,妇产科,26
20030522,骨科,29
20030522,口腔科,31
20030522,皮肤科,16
20030525,内科,1
20030525,外科,11
20030525,儿科,14
20030525,妇产科,17
20030525,骨科,27
20030525,口腔科,28
20030525,皮肤科,15
20030529,内科,6
20030529,外科,13
20030529,儿科,16
20030529,妇产科,20
20030529,骨科,28
20030529,口腔科,32
20030529,皮肤科,7
20030601,内科,2
20030601,外科,7
20030601,儿科,15
20030601,妇产科,26
20030601,骨科,29
20030601,口腔科,32
20030601,皮肤科,10
20030605,内科,2
20030605,外科,6
20030605,儿科,13
20030605,妇产科,14
20030605,骨科,23
20030605,口腔科,27
20030605,皮肤科,7
20030608,内科,11
20030608,外科,17
20030608,儿科,20
20030608,妇产科,22
20030608,骨科,28
20030608,口腔科,32
20030608,皮肤科,1
20030612,内科,4
20030612,外科,11
20030612,儿科,25
20030612,妇产科,27
20030612,骨科,29
20030612,口腔科,30
20030612,皮肤科,13
20030615,内科,1
20030615,外科,7
20030615,儿科,14
20030615,妇产科,20
20030615,骨科,27
20030615,口腔科,30
20030615,皮肤科,10
20030619,内科,8
20030619,外科,13
20030619,儿科,14
20030619,妇产科,16
20030619,骨科,23
20030619,口腔科,25
20030619,皮肤科,14
20030622,内科,3
20030622,外科,4
20030622,儿科,5
20030622,妇产科,8
20030622,骨科,10
20030622,口腔科,11
20030622,皮肤科,8
20030626,内科,7
20030626,外科,21
20030626,儿科,24
20030626,妇产科,25
20030626,骨科,27
20030626,口腔科,28
20030626,皮肤科,15
20030629,内科,9
20030629,外科,14
20030629,儿科,17
20030629,妇产科,18
20030629,骨科,26
20030629,口腔科,32
20030629,皮肤科,7
20030703,内科,5
20030703,外科,7
20030703,儿科,8
20030703,妇产科,24
20030703,骨科,25
20030703,口腔科,27
20030703,皮肤科,16
20030706,内科,3
20030706,外科,5
20030706,儿科,23
20030706,妇产科,24
20030706,骨科,27
20030706,口腔科,32
20030706,皮肤科,3
20030710,内科,4
20030710,外科,5
20030710,儿科,6
20030710,妇产科,12
20030710,骨科,14
20030710,口腔科,23
20030710,皮肤科,16
20030713,内科,2
20030713,外科,3
20030713,儿科,17
20030713,妇产科,18
20030713,骨科,24
20030713,口腔科,25
20030713,皮肤科,11
20030717,内科,3
20030717,外科,5
20030717,儿科,7
20030717,妇产科,10
20030717,骨科,15
20030717,口腔科,20
20030717,皮肤科,7
20030720,内科,2
20030720,外科,8
20030720,儿科,10
20030720,妇产科,19
20030720,骨科,20
20030720,口腔科,32
20030720,皮肤科,13
20030724,内科,2
20030724,外科,5
20030724,儿科,9
20030724,妇产科,16
20030724,骨科,32
20030724,口腔科,33
20030724,皮肤科,15
20030727,内科,3
20030727,外科,7
20030727,儿科,14
20030727,妇产科,15
20030727,骨科,17
20030727,口腔科,32
20030727,皮肤科,3
20030731,内科,7
20030731,外科,8
20030731,儿科,10
20030731,妇产科,11
20030731,骨科,17
20030731,口腔科,26
20030731,皮肤科,11
20030803,内科,3
20030803,外科,17
20030803,儿科,26
20030803,妇产科,28
20030803,骨科,32
20030803,口腔科,33
20030803,皮肤科,16
20030807,内科,10
20030807,外科,12
20030807,儿科,20
20030807,妇产科,28
20030807,骨科,30
20030807,口腔科,31
20030807,皮肤科,9
20030810,内科,3
20030810,外科,6
20030810,儿科,7
20030810,妇产科,13
20030810,骨科,24
20030810,口腔科,25
20030810,皮肤科,15
20030814,内科,2
20030814,外科,8
20030814,儿科,17
20030814,妇产科,23
20030814,骨科,24
20030814,口腔科,26
20030814,皮肤科,13
20030817,内科,4
20030817,外科,13
20030817,儿科,15
20030817,妇产科,17
20030817,骨科,24
20030817,口腔科,27
20030817,皮肤科,1
20030821,内科,1
20030821,外科,12
20030821,儿科,13
20030821,妇产科,23
20030821,骨科,30
20030821,口腔科,31
20030821,皮肤科,11
20030824,内科,15
20030824,外科,19
20030824,儿科,20
20030824,妇产科,21
20030824,骨科,28
20030824,口腔科,29
20030824,皮肤科,13
20030828,内科,2
20030828,外科,5
20030828,儿科,9
20030828,妇产科,21
20030828,骨科,31
20030828,口腔科,33
20030828,皮肤科,12
20030831,内科,6
20030831,外科,13
20030831,儿科,16
20030831,妇产科,21
20030831,骨科,28
20030831,口腔科,31
20030831,皮肤科,16
20030904,内科,8
20030904,外科,17
20030904,儿科,21
20030904,妇产科,26
20030904,骨科,28
20030904,口腔科,29
20030904,皮肤科,7
20030907,内科,18
20030907,外科,19
20030907,儿科,24
20030907,妇产科,25
20030907,骨科,30
20030907,口腔科,31
20030907,皮肤科,16
20030911,内科,9
20030911,外科,11
20030911,儿科,16
20030911,妇产科,28
20030911,骨科,32
20030911,口腔科,33
20030911,皮肤科,2
20030914,内科,2
20030914,外科,3
20030914,儿科,5
20030914,妇产科,6
