no,date,red1,red2,red3,red4,red5,red6,blue1,count,count_length
3001,20030223,10,11,12,13,26,28,11,15647551,8
3002,20030227,4,9,19,20,21,26,12,23729513,8
3003,20030302,1,7,10,23,28,32,16,3193373,7
3004,20030306,4,6,7,10,13,25,3,3143178,7
3005,20030309,4,6,15,17,30,31,16,7521787,7
3006,20030313,1,3,10,21,26,27,6,21054669,8
3007,20030316,1,9,19,21,23,26,7,9775515,7
3008,20030320,5,8,9,14,17,23,8,9206992,7
3009,20030323,5,9,18,20,22,30,9,75322490,8
3010,20030327,1,2,8,13,17,24,13,42778823,8
3011,20030330,4,5,11,12,30,32,15,7745379,7
3012,20030403,2,12,16,17,27,30,12,6644525,7
3013,20030406,8,13,17,21,23,32,12,3022128,7
3014,20030410,3,5,7,8,21,31,2,48017635,8
3015,20030413,4,11,19,25,26,32,13,8316704,7
3016,20030417,11,17,28,30,31,33,6,27588812,8
3017,20030420,5,8,18,23,25,31,6,1076764,7
3018,20030424,5,16,19,20,25,28,13,5470613,7
3019,20030427,4,8,12,13,16,33,9,10637368,8
3020,20030501,7,10,25,26,27,32,4,10896263,8
3021,20030504,14,15,18,25,26,30,1,2593672,7
3022,20030508,2,7,11,12,14,32,8,3532274,7
3023,20030511,1,10,20,22,26,31,2,14277992,8
3024,20030515,2,7,15,17,22,30,14,2465554,7
3025,20030518,1,5,11,13,14,27,12,59757306,8
3026,20030522,8,13,15,26,29,31,16,11360077,8
3027,20030525,1,11,14,17,27,28,15,4598571,7
3028,20030529,6,13,16,20,28,32,7,35816107,8
3029,20030601,2,7,15,26,29,32,10,17924812,8
3030,20030605,2,6,13,14,23,27,7,66493287,8
3031,20030608,11,17,20,22,28,32,1,35736843,8
3032,20030612,4,11,25,27,29,30,13,4212139,7
3033,20030615,1,7,14,20,27,30,10,6499335,7
3034,20030619,8,13,14,16,23,25,14,52555427,8
3035,20030622,3,4,5,8,10,11,8,2641248,7
3036,20030626,7,21,24,25,27,28,15,8800773,7
3037,20030629,9,14,17,18,26,32,7,51340887,8
3038,20030703,5,7,8,24,25,27,16,17862643,8
3039,20030706,3,5,23,24,27,32,3,23510449,8
3040,20030710,4,5,6,12,14,23,16,14064061,8
3041,20030713,2,3,17,18,24,25,11,15368801,8
3042,20030717,3,5,7,10,15,20,7,16667235,8
3043,20030720,2,8,10,19,20,32,13,4945916,7
3044,20030724,2,5,9,16,32,33,15,15953063,8
3045,20030727,3,7,14,15,17,32,3,14303586,8
3046,20030731,7,8,10,11,17,26,11,21829326,8
3047,20030803,3,17,26,28,32,33,16,15983967,8
3048,20030807,10,12,20,28,30,31,9,31835172,8
3049,20030810,3,6,7,13,24,25,15,458421,6
3050,20030814,2,8,17,23,24,26,13,18894608,8
3051,20030817,4,13,15,17,24,27,1,3383948,7
3052,20030821,1,12,13,23,30,31,11,34786367,8
3053,20030824,15,19,20,21,28,29,13,22953807,8
3054,20030828,2,5,9,21,31,33,12,4145647,7
3055,20030831,6,13,16,21,28,31,16,5844144,7
3056,20030904,8,17,21,26,28,29,7,20144128,8
3057,20030907,18,19,24,25,30,31,16,7301860,7
3058,20030911,9,11,16,28,32,33,2,2170668,7
3059,20030914,2,3,5,6,18,30,4,6557458,7
3060,20030918,2,4,6,17,21,28,11,3740975,7
3061,20030921,3,5,20,21,28,32,2,58599510,8
3062,20030925,1,6,12,19,20,32,14,4959847,7
3063,20030928,5,8,9,14,21,33,11,12414426,8
3064,20031002,4,6,8,12,15,30,1,6861236,7
3065,20031005,6,15,16,17,30,33,11,27418834,8
3066,20031009,3,7,8,20,24,32,14,24372843,8
3067,20031012,5,11,12,13,27,31,10,1459184,7
3068,20031016,9,19,25,27,32,33,11,1588742,7
3069,20031019,7,11,16,19,26,28,11,11958734,8
3070,20031023,1,2,4,17,18,19,8,9713272,7
3071,20031026,9,11,12,14,15,33,11,7642789,7
3072,20031030,3,6,8,11,19,27,11,21138795,8
3073,20031102,2,12,14,21,23,30,13,332412,6
3074,20031106,2,12,19,22,27,32,1,40316211,8
3075,20031109,16,17,19,22,31,33,11,68830336,8
3076,20031113,1,13,16,18,20,29,2,7346105,7
3077,20031116,4,12,16,22,24,25,6,619205,6
3078,20031120,7,12,23,26,29,30,11,44879757,8
3079,20031123,12,15,22,23,26,31,4,12708192,8
3080,20031127,9,20,24,25,28,30,10,18054190,8
3081,20031130,1,2,14,26,29,30,7,25053918,8
3082,20031204,7,17,18,19,30,31,14,7275369,7
3083,20031207,1,3,14,18,26,28,1,21177219,8
3084,20031211,2,6,7,10,17,33,3,19426014,8
3085,20031214,1,4,11,12,19,27,14,3725428,7
3086,20031218,5,12,16,18,26,30,13,25211807,8
3087,20031221,2,3,4,5,24,28,13,8319926,7
3088,20031225,3,10,21,22,24,33,12,17505109,8
3089,20031228,18,19,21,26,27,33,16,43887568,8
4001,20040101,1,2,3,7,10,25,7,31031086,8
4002,20040104,10,12,18,22,30,31,11,6234523,7
4003,20040108,3,5,6,17,26,33,8,25847113,8
4004,20040111,10,19,22,23,25,29,9,122049,6
4005,20040115,9,11,13,16,17,18,7,45528886,8
4006,20040118,4,12,18,20,23,32,6,5609477,7
4007,20040129,4,12,17,20,25,28,9,18424720,8
4008,20040201,1,7,10,22,32,33,13,14167965,8
4009,20040205,1,9,10,16,22,24,11,81267248,8
4010,20040208,6,7,8,13,14,19,15,23572819,8
4011,20040212,1,4,13,23,28,30,3,16987000,8
4012,20040215,1,7,27,30,31,33,8,23880746,8
4013,20040219,12,14,21,29,30,32,13,26133830,8
4014,20040222,3,7,11,17,20,26,12,7918438,7
4015,20040226,1,3,5,18,22,23,13,2063889,7
4016,20040229,4,7,8,28,30,32,5,23726062,8
4017,20040304,5,12,14,15,25,31,9,6096152,7
4018,20040307,2,5,6,8,28,30,6,9094769,7
4019,20040311,5,10,11,23,24,32,4,31192836,8
4020,20040314,1,2,9,22,28,31,4,31218899,8
4021,20040318,5,9,11,17,26,27,10,2930440,7
4022,20040321,3,10,14,19,20,30,6,55665597,8
4023,20040325,1,8,14,17,19,30,3,27135793,8
4024,20040328,1,13,21,23,25,32,6,11131934,8
4025,20040401,7,8,10,24,29,33,4,43679344,8
4026,20040404,4,10,14,18,28,32,15,6421109,7
4027,20040408,1,5,9,10,18,32,11,16180838,8
4028,20040411,1,2,3,5,10,22,12,1866424,7
4029,20040415,9,13,20,22,24,32,5,4903011,7
4030,20040418,1,7,9,17,26,31,5,3089448,7
4031,20040422,3,6,19,20,21,24,11,13331776,8
4032,20040425,2,5,8,11,15,31,13,61125166,8
4033,20040429,1,4,8,9,19,20,1,4652033,7
4034,20040502,2,7,13,20,27,30,14,30376543,8
4035,20040506,2,8,26,27,30,32,16,52345183,8
4036,20040509,2,13,17,18,26,30,1,7089081,7
4037,20040513,3,4,11,17,20,26,5,3612727,7
4038,20040516,11,16,17,25,28,29,7,1069946,7
4039,20040520,10,16,18,25,26,29,3,79119263,8
4040,20040523,7,17,19,20,21,29,11,385895,6
4041,20040527,8,10,17,22,25,29,14,34869086,8
4042,20040530,6,10,13,17,18,21,2,5476702,7
4043,20040603,4,9,10,21,22,24,10,2524778,7
4044,20040606,2,6,7,12,31,32,5,29036164,8
4045,20040610,1,12,18,26,27,28,13,13277539,8
4046,20040613,7,15,16,22,23,32,14,33426922,8
4047,20040617,1,7,8,11,27,31,6,8962570,7
4048,20040620,8,9,11,16,17,29,9,2018795,7
4049,20040624,11,12,14,16,25,29,9,28007553,8
4050,20040627,6,7,19,21,25,29,2,9173505,7
4051,20040701,2,3,9,10,15,29,11,2615629,7
4052,20040704,1,12,14,15,17,29,9,26626482,8
4053,20040708,2,3,4,9,24,25,2,14618914,8
4054,20040711,9,11,14,16,27,28,11,15189902,8
4055,20040715,6,8,19,25,29,32,7,28015713,8
4056,20040718,1,20,21,25,29,30,2,21414932,8
4057,20040722,5,21,23,25,28,32,4,12381335,8
4058,20040725,1,8,11,12,27,31,12,13291631,8
4059,20040729,4,7,11,19,23,26,10,6280589,7
4060,20040801,3,5,11,24,27,28,15,24988638,8
4061,20040805,13,16,19,20,23,33,9,16846031,8
4062,20040808,1,12,25,27,28,29,13,3722699,7
4063,20040812,7,10,13,16,27,28,7,289319,6
4064,20040815,14,15,18,20,27,31,4,15513916,8
4065,20040819,13,14,27,29,32,33,8,3265280,7
4066,20040822,5,13,20,23,24,25,3,16701989,8
4067,20040824,1,6,7,13,16,32,4,9010449,7
4068,20040826,2,8,11,13,24,31,15,3371395,7
4069,20040829,2,11,15,20,22,29,5,3460720,7
4070,20040831,10,12,21,22,30,33,6,63026887,8
4071,20040902,3,8,16,17,21,29,6,36420559,8
4072,20040905,8,15,18,28,30,33,14,40735562,8
4073,20040907,2,7,13,16,23,28,16,47876463,8
4074,20040909,5,6,15,19,26,29,13,7024232,7
4075,20040912,7,18,21,26,27,28,7,13971042,8
4076,20040914,3,5,13,17,25,31,7,20482295,8
4077,20040916,8,9,10,14,16,26,7,11611840,8
4078,20040919,4,5,10,21,24,26,5,2541302,7
4079,20040921,7,13,14,17,19,30,3,9185902,7
4080,20040923,3,8,20,23,24,26,16,613396,6
4081,20040926,3,5,21,24,27,32,6,9261347,7
4082,20040928,3,20,24,27,29,30,15,6141335,7
4083,20040930,14,16,27,28,30,33,6,12287750,8
4084,20041003,1,4,8,11,21,25,14,14287519,8
4085,20041005,3,8,11,29,30,32,1,23875199,8
4086,20041007,10,13,18,19,25,27,1,8758440,7
4087,20041010,1,3,7,8,25,26,14,13289604,8
4088,20041012,2,10,19,22,24,32,14,63811232,8
4089,20041014,14,17,20,25,28,30,14,35550397,8
4090,20041017,1,18,20,24,32,33,12,17584476,8
4091,20041019,9,13,14,21,30,33,1,8531625,7
4092,20041021,1,4,8,13,28,31,2,1359603,7
4093,20041024,11,14,20,27,32,33,5,117496866,9
4094,20041026,5,9,10,13,24,25,8,4727466,7
4095,20041028,19,22,27,28,30,32,1,4040417,7
4096,20041031,1,4,12,16,20,30,15,60847557,8
4097,20041102,10,19,20,26,29,31,14,803854,6
4098,20041104,3,12,13,25,26,31,3,53929570,8
4099,20041107,5,10,21,22,26,33,2,11339047,8
4100,20041109,6,8,9,14,24,33,15,37220050,8
4101,20041111,2,9,14,19,25,26,15,10986459,8
4102,20041114,3,9,12,15,28,32,1,1015471,7
4103,20041116,2,3,5,9,16,21,2,53292423,8
4104,20041118,7,11,17,18,24,29,5,9876314,7
4105,20041121,7,9,10,21,23,30,12,19141930,8
4106,20041123,10,15,23,26,28,29,12,26316871,8
4107,20041125,1,8,12,13,18,20,7,13568060,8
4108,20041128,8,13,14,27,28,31,12,31759471,8
4109,20041130,6,8,10,17,30,31,14,7025929,7
4110,20041202,14,19,20,21,22,31,11,30782792,8
4111,20041205,11,16,18,20,26,31,2,15746056,8
4112,20041207,9,13,15,21,26,33,6,24005498,8
